timepoint,padj_cutoff,l2fc_cutoff,.metric,.estimator,.estimate,model,truth,num_correct_tp,num_incorrect_fp
7,0.05,1,f_meas,binary,0.006191950464396285,FIT,up,1,28
7,0.1,0,f_meas,binary,0.1736122031766001,FIT,up,552,53
7,0.1,0.1,f_meas,binary,0.1738305941845765,FIT,up,550,55
7,0.1,0.5,f_meas,binary,0.16494845360824742,FIT,up,280,249
7,0.1,1,f_meas,binary,0.006191950464396285,FIT,up,1,28
7,0.2,0,f_meas,binary,0.2466433158201985,FIT,up,845,51
7,0.2,0.1,f_meas,binary,0.24622157006603076,FIT,up,839,57
7,0.2,0.5,f_meas,binary,0.17779056386651326,FIT,up,309,285
7,0.2,1,f_meas,binary,0.006172839506172839,FIT,up,1,28
7,0.3,0,f_meas,binary,0.3095205195523007,FIT,up,1120,59
7,0.3,0.1,f_meas,binary,0.3095536086775136,FIT,up,1113,66
7,0.3,0.5,f_meas,binary,0.1776372520839322,FIT,up,309,288
7,0.3,1,f_meas,binary,0.006172839506172839,FIT,up,1,28
7,0.4,0,f_meas,binary,0.37153006183396925,FIT,up,1412,53
7,0.4,0.1,f_meas,binary,0.3715687574592229,FIT,up,1401,64
7,0.4,0.5,f_meas,binary,0.1775862068965517,FIT,up,309,288
7,0.4,1,f_meas,binary,0.006172839506172839,FIT,up,1,28
7,0.5,0,f_meas,binary,0.42696629213483145,FIT,up,1691,47
7,0.5,0.1,f_meas,binary,0.42691474448833955,FIT,up,1675,63
7,0.5,0.5,f_meas,binary,0.1775351910370583,FIT,up,309,288
7,0.5,1,f_meas,binary,0.006172839506172839,FIT,up,1,28
1,0.05,0,spec,binary,0.12801087801087802,FIT,up,1083,142
1,0.05,0.1,spec,binary,0.13364413364413363,FIT,up,1072,153
1,0.05,0.5,spec,binary,0.622349570200573,FIT,up,523,615
1,0.05,1,spec,binary,0.9666288676494411,FIT,up,4,196
1,0.1,0,spec,binary,0.10030706243602866,FIT,up,1349,139
1,0.1,0.1,spec,binary,0.10767656090071648,FIT,up,1335,153
1,0.1,0.5,spec,binary,0.6170798898071626,FIT,up,567,724
1,0.1,1,spec,binary,0.9666288676494411,FIT,up,4,196
1,0.2,0,spec,binary,0.06778169014084508,FIT,up,1710,119
1,0.2,0.1,spec,binary,0.07768485915492958,FIT,up,1687,142
1,0.2,0.5,spec,binary,0.6145396444977033,FIT,up,593,773
1,0.2,1,spec,binary,0.9666288676494411,FIT,up,4,196
1,0.3,0,spec,binary,0.05062104523084134,FIT,up,1997,109
1,0.3,0.1,spec,binary,0.06233887977501758,FIT,up,1963,143
1,0.3,0.5,spec,binary,0.6145396444977033,FIT,up,593,773
1,0.3,1,spec,binary,0.9666288676494411,FIT,up,4,196
1,0.4,0,spec,binary,0.04106520657043305,FIT,up,2274,81
1,0.4,0.1,spec,binary,0.05599800895968143,FIT,up,2228,127
1,0.4,0.5,spec,binary,0.6145396444977033,FIT,up,594,772
1,0.4,1,spec,binary,0.9666288676494411,FIT,up,4,196
1,0.5,0,spec,binary,0.03494837172359015,FIT,up,2529,67
1,0.5,0.1,spec,binary,0.05320275277924828,FIT,up,2472,123
1,0.5,0.5,spec,binary,0.6145396444977033,FIT,up,594,772
1,0.5,1,spec,binary,0.9666288676494411,FIT,up,4,196
3,0.05,0,spec,binary,0.12414131501472031,FIT,up,221,38
3,0.05,0.1,spec,binary,0.13035655871769708,FIT,up,221,38
3,0.05,0.5,spec,binary,0.5808295231874592,FIT,up,110,139
3,0.05,1,spec,binary,0.9591066373073294,FIT,up,0,15
3,0.1,0,spec,binary,0.0968445787176905,FIT,up,367,48
3,0.1,0.1,spec,binary,0.10355824102047667,FIT,up,364,51
3,0.1,0.5,spec,binary,0.5775445610528069,FIT,up,157,213
3,0.1,1,spec,binary,0.9591066373073294,FIT,up,0,15
3,0.2,0,spec,binary,0.06596119929453263,FIT,up,654,49
3,0.2,0.1,spec,binary,0.07442680776014109,FIT,up,651,52
3,0.2,0.5,spec,binary,0.5757575757575758,FIT,up,198,268
3,0.2,1,spec,binary,0.9589493551431267,FIT,up,0,15
3,0.3,0,spec,binary,0.049104670481816506,FIT,up,902,54
3,0.3,0.1,spec,binary,0.059442495846409454,FIT,up,894,62
3,0.3,0.5,spec,binary,0.5755932203389831,FIT,up,200,273
3,0.3,1,spec,binary,0.9589493551431267,FIT,up,0,15
3,0.4,0,spec,binary,0.03870089459354337,FIT,up,1188,43
3,0.4,0.1,spec,binary,0.051730844029560484,FIT,up,1173,58
3,0.4,0.5,spec,binary,0.5754237288135593,FIT,up,200,273
3,0.4,1,spec,binary,0.9589493551431267,FIT,up,0,15
3,0.5,0,spec,binary,0.03209876543209877,FIT,up,1474,39
3,0.5,0.1,spec,binary,0.04691358024691358,FIT,up,1450,63
3,0.5,0.5,spec,binary,0.5752542372881356,FIT,up,200,273
3,0.5,1,spec,binary,0.9589493551431267,FIT,up,0,15
7,0.05,0,spec,binary,0.12474815312290127,FIT,up,369,48
7,0.05,0.1,spec,binary,0.12894560107454667,FIT,up,368,49
7,0.05,0.5,spec,binary,0.5578436296668341,FIT,up,212,188
7,0.05,1,spec,binary,0.9538146279949559,FIT,up,1,28
7,0.1,0,spec,binary,0.09812760055478502,FIT,up,552,53
7,0.1,0.1,spec,binary,0.10315533980582524,FIT,up,550,55
7,0.1,0.5,spec,binary,0.5574948665297741,FIT,up,280,249
7,0.1,1,spec,binary,0.9538146279949559,FIT,up,1,28
7,0.2,0,spec,binary,0.06682490414460471,FIT,up,845,51
7,0.2,0.1,spec,binary,0.07248493700931166,FIT,up,839,57
7,0.2,0.5,spec,binary,0.5547672607717599,FIT,up,309,285
7,0.2,1,spec,binary,0.9536569987389659,FIT,up,1,28
7,0.3,0,spec,binary,0.04928763958413554,FIT,up,1120,59
7,0.3,0.1,spec,binary,0.05679630342703119,FIT,up,1113,66
7,0.3,0.5,spec,binary,0.5545360110803325,FIT,up,309,288
7,0.3,1,spec,binary,0.9536569987389659,FIT,up,1,28
7,0.4,0,spec,binary,0.037489812550937245,FIT,up,1412,53
7,0.4,0.1,spec,binary,0.047473512632436835,FIT,up,1401,64
7,0.4,0.5,spec,binary,0.5543628808864266,FIT,up,309,288
7,0.4,1,spec,binary,0.9536569987389659,FIT,up,1,28
7,0.5,0,spec,binary,0.030852211434735707,FIT,up,1691,47
7,0.5,0.1,spec,binary,0.04336569579288026,FIT,up,1675,63
7,0.5,0.5,spec,binary,0.5541897506925207,FIT,up,309,288
7,0.5,1,spec,binary,0.9536569987389659,FIT,up,1,28
1,0.05,0,sens,binary,0.8840816326530613,FIT,up,1083,142
1,0.05,0.1,sens,binary,0.8751020408163265,FIT,up,1072,153
1,0.05,0.5,sens,binary,0.45957820738137084,FIT,up,523,615
1,0.05,1,sens,binary,0.02,FIT,up,4,196
1,0.1,0,sens,binary,0.9065860215053764,FIT,up,1349,139
1,0.1,0.1,sens,binary,0.8971774193548387,FIT,up,1335,153
1,0.1,0.5,sens,binary,0.43919442292796285,FIT,up,567,724
1,0.1,1,sens,binary,0.02,FIT,up,4,196
1,0.2,0,sens,binary,0.9349371241115364,FIT,up,1710,119
1,0.2,0.1,sens,binary,0.9223619464188081,FIT,up,1687,142
1,0.2,0.5,sens,binary,0.4341142020497804,FIT,up,593,773
1,0.2,1,sens,binary,0.02,FIT,up,4,196
1,0.3,0,sens,binary,0.9482431149097815,FIT,up,1997,109
1,0.3,0.1,sens,binary,0.9320987654320988,FIT,up,1963,143
1,0.3,0.5,sens,binary,0.4341142020497804,FIT,up,593,773
1,0.3,1,sens,binary,0.02,FIT,up,4,196
1,0.4,0,sens,binary,0.9656050955414013,FIT,up,2274,81
1,0.4,0.1,sens,binary,0.9460721868365181,FIT,up,2228,127
1,0.4,0.5,sens,binary,0.43484626647144947,FIT,up,594,772
1,0.4,1,sens,binary,0.02,FIT,up,4,196
1,0.5,0,sens,binary,0.974191063174114,FIT,up,2529,67
1,0.5,0.1,sens,binary,0.9526011560693641,FIT,up,2472,123
1,0.5,0.5,sens,binary,0.43484626647144947,FIT,up,594,772
1,0.5,1,sens,binary,0.02,FIT,up,4,196
3,0.05,0,sens,binary,0.8532818532818532,FIT,up,221,38
3,0.05,0.1,sens,binary,0.8532818532818532,FIT,up,221,38
3,0.05,0.5,sens,binary,0.44176706827309237,FIT,up,110,139
3,0.05,1,sens,binary,0,FIT,up,0,15
3,0.1,0,sens,binary,0.8843373493975903,FIT,up,367,48
3,0.1,0.1,sens,binary,0.8771084337349397,FIT,up,364,51
3,0.1,0.5,sens,binary,0.4243243243243243,FIT,up,157,213
3,0.1,1,sens,binary,0,FIT,up,0,15
3,0.2,0,sens,binary,0.930298719772404,FIT,up,654,49
3,0.2,0.1,sens,binary,0.9260312944523471,FIT,up,651,52
3,0.2,0.5,sens,binary,0.4248927038626609,FIT,up,198,268
3,0.2,1,sens,binary,0,FIT,up,0,15
3,0.3,0,sens,binary,0.9435146443514645,FIT,up,902,54
3,0.3,0.1,sens,binary,0.9351464435146444,FIT,up,894,62
3,0.3,0.5,sens,binary,0.42283298097251587,FIT,up,200,273
