gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,administration_route,main_sample_source,specific_sample_source,sequencing
GSE288450,Vaccines combining slow release and follicle targeting of antigens increase germinal center B cell clonal diversity and clonal expansion,40531969,Virus,HIV,Env trimer,Subunit,Alum,No information,Lymph node,GC B cells,scRNA
GSE288450,Vaccines combining slow release and follicle targeting of antigens increase germinal center B cell clonal diversity and clonal expansion,40531969,Virus,HIV,Env trimer,Subunit,Alum,No information,Lymph node,GC B cells,scBCR
GSE288450,Vaccines combining slow release and follicle targeting of antigens increase germinal center B cell clonal diversity and clonal expansion,40531969,Virus,HIV,Env trimer,Subunit,Saponin,No information,Lymph node,GC B cells,scRNA
GSE288450,Vaccines combining slow release and follicle targeting of antigens increase germinal center B cell clonal diversity and clonal expansion,40531969,Virus,HIV,Env trimer,Subunit,Saponin,No information,Lymph node,GC B cells,scBCR
GSE143617,Respiratory syncytial virus (RSV) F subunit vaccine with adjuvants affect immunity in BALB/c mice,33013922,Virus,RSV,F protein,Subunit,"AS02, AS03",Intramuscular,Blood,NA,Bulk
GSE195600,Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,35552381,Virus,Influenza,Pandemrix,Inactivated,AS03,Intramuscular,Brain,Hypothalami,Bulk
GSE195600,Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,35552381,Virus,Influenza,Pandemrix,Inactivated,AS03,Intramuscular,Lymph node,NA,Bulk
GSE195600,Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,35552381,Virus,Influenza,Pandemrix,Inactivated,AS03,Intramuscular,Spleen,NA,Bulk
GSE155536,A single-dose intranasal vaccination elicits systemic and mucosal immunity against SARS-CoV-2,,Virus,SARS-CoV-2,Spike + nano STING,mRNA,Liposome,Intranasal,Liver,NA,scRNAseq
GSE279372,Lipid nanoparticles as adjuvant of Norovirus VLP vaccine augment cellular and humoral immune responses in a TLR 9- and type I IFN-dependent pathway,39494905,Virus,Norovirus,GI.1-GII.4,VLP,LNP,Intramuscular,Spleen,NA,Bulk
GSE279372,Lipid nanoparticles as adjuvant of Norovirus VLP vaccine augment cellular and humoral immune responses in a TLR 9- and type I IFN-dependent pathway,39494905,Virus,Norovirus,GI.1-GII.4,VLP,Alum,Intramuscular,Spleen,NA,Bulk
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Virus,Influenza,Fluad,Inactivated,MF59,Intramuscular,Blood,PBMCs,Microarray
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Cal/09,Inactivated,No,Intranasal,Lung,NA,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Cal/09,Inactivated,Addavax,Intranasal,Lung,NA,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Influenza A Cal/09,Inactivated,No,Intranasal,Blood,PBMCs,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Influenza A Cal/09,Inactivated,Addavax,Intranasal,Blood,PBMCs,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Influenza Quadrivalent 2019-2020,Inactivated,No,Intranasal,Lung,NA,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Influenza Quadrivalent 2019-2020,Inactivated,Addavax,Intranasal,Lung,NA,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Quadrivalent 2019-2020,Inactivated,No,Intranasal,Blood,PBMCs,Bulk
GSE182858,Dirty mice as an alternative for preclinical vaccine testing,34731647,Virus,Influenza,Quadrivalent 2019-2020,Inactivated,Addavax,Intranasal,Blood,PBMCs,Bulk
GSE261311,Vaccine based on immune evasion mutations integrated RBD protein have broad protection against SARS-CoV-2 [mRNA-seq],,Virus,SARS-CoV-2,RBD,Subunit,Vac-AS03-10,No information,Blood,NA,Bulk
GSE264344,Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,39464013; 40162786,Virus,Ad26,Whole,Viral vector,NA,Intramuscular,Blood,NA,Bulk
GSE264344,Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,39464013; 40162786,Virus,Ad26,Whole,Viral vector,NA,Intramuscular,Muscle,NA,Bulk
GSE264344,Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,39464013; 40162786,Virus,Ad26,Whole,Viral vector,NA,Intramuscular,Lymph node,NA,Bulk
GSE240062,Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq],39080316,Virus,Andes virus,M segment,mRNA,NA,Intradermal,Lymph node,GC B cells,scRNA
